player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,saved_by_teammatePR,saved_teammatesPR,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,rating_1.0_all_Career,clutches_1on1_ratio,clutches_won_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
stavn,1.004224,0.65275794,69.91001,1.0353692,75.40247,0.68104,291.81702,49.662373,2441.0,0.9717008,75.99764,4.9040933,155.0,0.09047338,0.08918421,0.95884776,71.80084,14.288068,0.9680928,2.1,21.0,6.0,0.0,0.0,0.0
rain ,1.008736,0.65053207,69.63313,1.0220822,75.67388,0.6855407,295.41464,49.084652,2429.0,0.9749025,76.810196,4.900942,157.0,0.090940915,0.089651026,0.9573441,70.972145,14.461389,0.9702723,1.6666666,20.0,6.0,0.0,0.0,0.0
broky ,1.0152289,0.6467058,70.038155,1.0311079,75.82275,0.6836073,261.80026,49.287575,2424.0,0.9810437,76.087715,4.8979387,159.0,0.0909047,0.08889235,0.96346086,72.373856,14.474276,0.97269917,1.75,21.0,5.0,1.0,0.0,0.0
karrigan,1.0070415,0.65257263,69.494545,1.019762,74.513176,0.6766122,316.06464,49.58376,2372.0,0.9832017,75.18414,4.966726,153.0,0.090143315,0.09112579,0.94807816,70.954445,14.465909,0.97081375,1.75,21.0,6.0,1.0,0.0,0.0
anonim_pro,1.0010141,0.6478862,69.84778,1.0482788,75.85072,0.68632597,363.38037,49.94329,2494.0,0.97396773,75.91893,4.889753,154.0,0.08958452,0.08824333,0.9621382,71.30986,14.475402,0.9705684,1.7692307,23.0,5.0,1.0,0.0,0.0
anonim_pro,1.0064678,0.65369797,69.7765,1.0383226,75.70453,0.6803739,402.88962,49.35364,2574.0,0.9764666,75.47383,5.0395,158.0,0.090167105,0.08946785,0.9521023,71.85784,14.467155,0.9673142,1.8333334,22.0,5.0,0.0,0.0,0.0
anonim_pro,1.0090895,0.65622294,69.84833,1.0483633,74.79425,0.68570393,321.08548,49.22785,2475.0,0.977405,76.19428,4.833934,154.0,0.08995678,0.0908545,0.9486701,72.23771,14.356547,0.96694756,1.75,21.0,6.0,0.0,0.0,0.0
anonim_pro,1.0074321,0.6456651,69.80253,1.0398498,75.954865,0.68739164,290.46136,49.294773,2525.0,0.9795215,75.91772,5.0011616,157.0,0.09024999,0.09139846,0.9597447,69.41999,14.363751,0.97467697,2.0,22.0,6.0,1.0,0.0,0.0
anonim_pro,1.0110463,0.64666516,69.845215,1.0284237,75.642044,0.6823699,377.14285,50.1863,2445.0,0.9757591,75.98847,4.882967,156.0,0.09025704,0.088805,0.95240086,71.00849,14.342552,0.9676044,2.090909,23.0,4.0,0.0,0.0,0.0
anonim_pro,1.0169463,0.6503589,69.18709,1.035538,75.946594,0.68501633,392.16318,49.276157,2505.0,0.98688155,74.975426,4.753162,156.0,0.09007132,0.09051787,0.96322113,72.87621,13.983935,0.9672609,2.0,24.0,6.0,1.0,0.0,0.0
