gX,gY
-1655.1724137931035,206.8965517241379
-1655.1724137931035,379.3103448275863
-1655.1724137931035,551.7241379310346
-1655.1724137931035,724.1379310344828
-1482.7586206896551,-137.9310344827586
-1482.7586206896551,34.482758620689765
-1482.7586206896551,206.8965517241379
-1482.7586206896551,379.3103448275863
-1482.7586206896551,551.7241379310346
-1482.7586206896551,724.1379310344828
-1310.344827586207,-137.9310344827586
-1310.344827586207,206.8965517241379
-1310.344827586207,379.3103448275863
-1137.9310344827586,-482.7586206896551
-1137.9310344827586,-310.34482758620686
-1137.9310344827586,551.7241379310346
-965.5172413793102,-310.34482758620686
-965.5172413793102,-137.9310344827586
-965.5172413793102,34.482758620689765
-965.5172413793102,206.8965517241379
-965.5172413793102,551.7241379310346
-793.1034482758621,-482.7586206896551
-793.1034482758621,-310.34482758620686
-793.1034482758621,-137.9310344827586
-793.1034482758621,34.482758620689765
-793.1034482758621,206.8965517241379
-793.1034482758621,379.3103448275863
-793.1034482758621,551.7241379310346
-793.1034482758621,724.1379310344828
-620.6896551724137,-137.9310344827586
-620.6896551724137,34.482758620689765
-620.6896551724137,206.8965517241379
-620.6896551724137,551.7241379310346
-620.6896551724137,724.1379310344828
-448.27586206896535,-137.9310344827586
-448.27586206896535,206.8965517241379
-448.27586206896535,379.3103448275863
-448.27586206896535,551.7241379310346
-448.27586206896535,724.1379310344828
-448.27586206896535,896.5517241379312
-275.8620689655172,-482.7586206896551
-275.8620689655172,-310.34482758620686
-275.8620689655172,-137.9310344827586
-275.8620689655172,896.5517241379312
-103.44827586206884,-482.7586206896551
-103.44827586206884,-137.9310344827586
-103.44827586206884,34.482758620689765
-103.44827586206884,379.3103448275863
-103.44827586206884,896.5517241379312
68.96551724137953,-482.7586206896551
68.96551724137953,-137.9310344827586
68.96551724137953,34.482758620689765
68.96551724137953,551.7241379310346
68.96551724137953,724.1379310344828
68.96551724137953,896.5517241379312
68.96551724137953,1068.9655172413795
68.96551724137953,1241.379310344828
68.96551724137953,1413.7931034482758
68.96551724137953,2448.2758620689656
68.96551724137953,2620.689655172414
68.96551724137953,2793.1034482758623
68.96551724137953,2965.5172413793107
68.96551724137953,3137.931034482759
241.3793103448279,-482.7586206896551
241.3793103448279,-137.9310344827586
241.3793103448279,34.482758620689765
241.3793103448279,551.7241379310346
241.3793103448279,724.1379310344828
241.3793103448279,1241.379310344828
241.3793103448279,1413.7931034482758
241.3793103448279,1586.2068965517242
241.3793103448279,1758.6206896551726
241.3793103448279,2448.2758620689656
241.3793103448279,2620.689655172414
241.3793103448279,2793.1034482758623
241.3793103448279,2965.5172413793107
241.3793103448279,3137.931034482759
413.7931034482758,-655.1724137931035
413.7931034482758,-137.9310344827586
413.7931034482758,34.482758620689765
413.7931034482758,551.7241379310346
413.7931034482758,724.1379310344828
413.7931034482758,1758.6206896551726
413.7931034482758,1931.034482758621
413.7931034482758,2103.4482758620693
413.7931034482758,2448.2758620689656
413.7931034482758,2620.689655172414
413.7931034482758,2793.1034482758623
413.7931034482758,2965.5172413793107
413.7931034482758,3137.931034482759
413.7931034482758,3310.3448275862074
413.7931034482758,3482.758620689656
586.2068965517242,-655.1724137931035
586.2068965517242,-137.9310344827586
